All,Barcha
"Please make sure that all global admin search modules are installed and activated.","Barcha global boshqaruv ma`lumotlari modullarining o`rnatilganligi va faollashtirilganligiga ishonch hosil qiling."
"You saved the account.","Profilni saqladingiz."
"An error occurred while saving account.","Profilni saqlash vaqtida xatolik yuz berdi."
"You deleted the design change.","Siz dizayn o'zgarishini o'chirdingiz."
"You can't delete the design change.","Dizayn o'zgarishini o'chira olmaysiz."
"Store Design","Do'konning dizayni"
"Edit Store Design Change","Do'kon tarkibini o'zgartirish"
"You saved the design change.","Dizayn o'zgarishini saqladingiz."
System,Tizim
"Manage Stores","Do'konlarni boshqarish"
"The database was backed up.","Ma'lumotlar bazasining zaxira nusxasi yaratildi."
"Deleting a %1 will not delete the information associated with the %1 (e.g. categories, products, etc.), but the %1 will not be able to be restored. It is suggested that you create a database backup before deleting the %1.","%1 ni o'chirib tashlash, %1 bilan bog'liq ma'lumotlarni o'chirib tashlamaydi (masalan, toifalar, mahsulotlar, va boshqalar), lekin %1 tiklanmaydi. %1 silmasdan oldin ma'lumotlar bazasini zaxiralang."
"Something went wrong. Please try again.","Nimadir noto'g'ri bajarildi. Iltimos, yana bir bor urinib ko'ring."
"This store cannot be deleted.","Ushbu do'konni o'chirib bo'lmaydi."
"You deleted the store.","Siz do'konni o'chirdingiz."
"Unable to delete the store. Please try again later.","Do'konni o'chirib bo'lmadi. Iltimos keyinroq qayta urinib ko'ring."
"This store view cannot be deleted.","Ushbu do'kon ko'rinishi o'chirib bo'lmaydi."
"Store View","Do'konning ko'rinishi"
"You deleted the store view.","Siz do'kon ko'rinishini o'chirdingiz."
"Unable to delete the store view. Please try again later.","Do'kon ko'rinishini o'chirib bo'lmadi. Iltimos keyinroq qayta urinib ko'ring."
"This website cannot be deleted.","Ushbu veb-saytni o'chirib bo'lmaydi."
"You deleted the website.","Veb-saytni o'chirdingiz."
"Unable to delete the website. Please try again later.","Veb-saytni o'chirib bo'lmadi. Iltimos keyinroq qayta urinib ko'ring."
"The website does not exist.","Veb-sayt mavjud emas."
"Before modifying the website code please make sure it is not used in index.php.","Veb-sayt kodini o'zgartirishdan oldin, uni index.php-da ishlatilmayotganligiga ishonch hosil qiling."
"The store does not exist","Do'kon mavjud emas"
"Store view doesn't exist","Do'kon ko'rinishi mavjud emas"
"Before modifying the store view code please make sure it is not used in index.php.","Do'konning ko'rinish kodini o'zgartirishdan oldin, uni index.php-da ishlatmasligiga ishonch hosil qiling."
"New ","Yangi "
"All Stores","Barcha do'konlar"
"You saved the website.","Siz veb-saytni saqladingiz."
"The default store cannot be disabled","Standart do'kon o'chirib bo'lmaydi"
"You saved the store view.","Do'kon ko'rinishini saqladingiz."
"An inactive store view cannot be saved as default store view","Faol bo'lmagan do'kon ko'rinishi odatiy do'kon ko'rinishi sifatida saqlana olmaydi"
"You saved the store.","Siz do'konni saqladingiz."
"Something went wrong while saving. Please review the error log.","Saqlashda xatolik yuz berdi. Iltimos, xato jurnalini ko'rib chiqing."
"Authentication storage is incorrect.","Do'konni tekshirish noto'g'ri."
"Last 24 Hours","Oxirgi 24 soat"
"Last 7 Days","Oxirgi 7 kun"
"Current Month","Joriy oy"
Order,Buyurtma
"Order #%1","Buyurtma #%1"
"Sorry, you need permissions to view this content.","Kechirasiz, siz ushbu kontentni ko'rish uchun ruxsat olishingiz kerak."
"Next steps","Keyingi qadamlar"
"If you think this is an error, try signing out and signing in again.","Agar buni xato deb hisoblasangiz, chiqing va qayta ro'yxatdan o'tishga harakat qiling."
"Contact a system administrator or store owner to gain permissions.","Ruxsatlar olish uchun tizim ma'muri yoki do'kon egasiga murojaat qiling."
"previous page","oldingi sahifa"
"Welcome, please sign in","Xush kelibsiz, iltimos, tizimga kiring"
Username,"Foydalanuvchi nomi"
"user name","foydalanuvchi nomi"
Password,Parol
password,parol
"Sign in","Tizimga kirish"
"No Data Found","Ma'lumot topilmadi"
"Chart is disabled. To enable the chart, click <a href=""%1"">here</a>.","Grafik o'chirilgan. Grafikni yoqish uchun <a href=""%1""> bu yerda </a> bosing."
"Select Range:","Qator oralig'ini tanlang:"
"Last Orders","Oxirgi Buyurtma"
"Last Search Terms","So'nggi izlanishlar"
"There are no search keywords.","Hech qanday qidirish kalit so'zlari yo'q."
"View Statistics For:","Statistikani ko'rish uchun:"
"All Websites","Barcha veb-saytlar"
"Reload Data","Ma'lumotlarni qayta yuklash"
"Browse Files...","Fayllarni ko'rib chiqish..."
"Copyright &copy; %1 Magento Commerce Inc. All rights reserved.","Copyright &copy; %1 Magento Commerce Inc. Barcha huquqlar himoyalangan."
"Magento Admin Panel","Magento boshqaruv paneli"
"Account Setting","Hisobni sozlash"
"Customer View","Xaridor ko'rinishi"
"Sign Out",Chiqish
"About the calendar","Taqvim haqida"
"Go Today","Bugungi kunga borish"
Previous,Avvalgi
Next,Keyingi
Time,Vaqt
Hour,Soat
Minute,Daqiqa
"JavaScript may be disabled in your browser.","Brauzeringizda JavaScript o'chirib qo'yilgan bo'lishi mumkin."
"To use this website you must first enable JavaScript in your browser.","Ushbu veb-saytni ishlatish uchun brauzeringizda avval JavaScript-ni yoqishingiz kerak."
"This is only a demo store. You can browse and place orders, but nothing will be processed.","Bu demo do'koni. Ushbu saytda joylashtirilgan har qanday buyurtma ishlov berilmaydi yoki bajarilmaydi."
"Report an Issue","Muammo haqida xabar bering"
"Stores Configuration","Do'konlarni sozlash"
"Additional Cache Management","Qo'shimcha keshlarni boshqarish"
"Flush Catalog Images Cache","Rasm keshini tozalash"
"Pregenerated product images files","Oldindan tayyorlangan tovarlar tasvirlari"
"Flush JavaScript/CSS Cache","JavaScript / CSS keshini tozalash"
"Themes JavaScript and CSS files combined to one file","Templateni JavaScript va CSS fayllari bitta faylga birlashtiriladi"
"Flush Static Files Cache","Statik fayllar keshini o'chiring"
"Preprocessed view files and static files","Oldindan qayta ishlangan fayllar va statik fayllar"
Catalog,Katalog
"JavaScript/CSS Cache","JavaScript/CSS Keshi"
"No records found.","Hech qanday yozuv topilmadi."
Images,Rasmlar
"Big Image","Katta rasm"
Thumbnail,"Kichik rasm"
"Additional Settings","Qo'shimcha sozlamalar"
"records found","yozuvlar topildi"
selected,tanlangan
"per page","bir sahifa uchun"
"Previous page","Oldingi sahifa"
"of %1","%1 dan"
"Next page","Keyingi sahifa"
"Export to:","Quyidagiga eksport qilish:"
"Mass Actions","Ommaviy tadbirlar"
"Unselect All","Barchasini tanlash"
"Select Visible","Ko'rinishni tanlang"
"Unselect Visible","Tanlanganni olib tashlash"
"Changes have been made to this section that have not been saved.","Ushbu bo'limga saqlanmagan o'zgarishlar kiritildi."
"This tab contains invalid data. Please resolve this before saving.","Ushbu ichki oynada noto'g'ri ma'lumotlar mavjud. Saqlamasdan oldin buni hal qiling."
"The information in this tab has been changed.","Ushbu ichki oynadagi ma'lumot o'zgardi."
Loading...,Yuklanmoqda...
"User Agent Rules","User Agent qoidalari"
"We could not detect a size.","Biz hajmni aniqlay olmadik."
"Allow everything","Hammasiga ruxsat berish"
"Magento Admin","Magento administratori"
"Global Search","Global qidiruv"
"SEO & Search","SEO & qidirish"
"User Content","Foydalanuvchi tarkib"
Content,Kontent
Elements,Elementlar
Design,Dizayn
Schedule,Jadval
Settings,Sozlamalar
Attributes,Xususiyatlar
"Other Settings","Boshqa Sozlamalar"
"Data Transfer","Ma'lumot uzatish"
"Connect Manager","Ulanish menejeri"
"Package Extensions","Paket kengaytmalari"
Tools,Asboblar
Currency,Valyuta
Communications,Aloqa
Services,Xizmatlar
Advanced,Murakkab
"Disable Modules Output","Chiqish modullarini o'chirish"
"Store Email Addresses","Do'kon Email manzili"
"Custom Email 1","Maxsus Email 1"
"Sender Email","Yuboruvchi Email"
"Sender Name","Yuboruvchi nomi"
"Custom Email 2","Maxsus Email 2"
"General Contact","Bosh kontakt"
"Sales Representative","Savdo bo'yicha menejer"
"Customer Support","Mijozlarni qo'llab-quvvatlash"
Developer,Dasturchi
"Template Settings","Template sozlamalari"
"Allow Symlinks","URL larga ruxsat berish"
"Minify Html","HTMLni kichiklashtirish"
"Minification is not applied in developer mode.","Minifikatsiya dasturi ishlab chiquvchi rejimida qo'llanilmaydi."
"Translate Inline","Inline tarjima qiling"
"Enabled for Storefront","Frontend uchun yoqilgan"
"Enabled for Admin","Administrator uchun yoqilgan"
"Translate, blocks and other output caches should be disabled for both Storefront and Admin inline translations.","Tarjimalar, bloklar va boshqa chiqish keshlari ichki o'rnatilgan tarjimalarning old tomoni va administratori uchun o'chirib qo'yilishi kerak."
"JavaScript Settings","JavaScript sozlamalari"
"Merge JavaScript Files","JavaScript fayllarini birlashtirish"
"Enable JavaScript Bundling","JavaScript Bundling'ni yoqish"
"Minify JavaScript Files","JavaScript fayllarini kichraytirish"
"CSS Settings","CSS sozlamalari"
"Merge CSS Files","CSS fayllarini birlashtirish"
"Minify CSS Files","CSS fayllarini kichraytirish"
"Image Processing Settings","Rasmni qayta ishlash sozlamalari"
"Image Adapter","Rasm adapteri"
"Static Files Settings","Statik fayllar sozlamalari"
"Sign Static Files","Statik fayllarni imzolash"
"Country Options","Davlat parametrlari"
"Allow Countries","Davlatlarga ruxsat berish"
"Default Country","Odatiy Davlat"
"European Union Countries","Evropa Ittifoqi mamlakatlari"
"Top destinations","Ommaviy joylar"
"Locale Options","Mahalliy parametrlar"
Timezone,"Vaqt zonasi"
Locale,Mahalliy
"First Day of Week","Haftaning birinchi kuni"
"Weekend Days","Hafta kunlari"
"Store Name","Do'kon nomi"
"Store Phone Number","Do'konning telefon raqami"
"Store Hours of Operation","Do'konning ish vaqti"
Country,Mamlakat
Region/State,Viloyat/Davlat
"ZIP/Postal Code","Pochta indeksi"
City,Shahar
"Street Address","Ko'cha manzili"
"Street Address Line 2","Ko'cha manzili yo'nalishi 2"
"VAT Number","QQS raqami"
"Single-Store Mode","Bitta do'kon rejimi"
"Enable Single-Store Mode","Bitta do'kon rejimi yoqilsin"
"This setting will not be taken into account if system has more than one store view.","Tizimda bir nechta do'kon ko'rinishi bo'lsa, ushbu parametr hisobga olinmaydi."
"Mail Sending Settings","Pochta yuborish sozlamalari"
"Disable Email Communications","Email aloqalarini o'chirib qo'yish"
Host,Xost
"Set Return-Path","Qaytish yo'lini belgilash"
"Return-Path Email","Orqaga qaytish yo'li"
"Admin User Emails","Administratorning elektron pochtalari"
"Forgot Password Email Template","E-mail shablonni parolni unutdingizmi"
"Email template chosen based on theme fallback when ""Default"" option is selected.","E-mail shabloni ""Standart"" parametrini tanlashda zahira parametrlari mavzusiga asoslangan holda tanlanadi."
"Forgot and Reset Email Sender","Elektron pochta jo'natuvchini unutib qo'ymang"
"Startup Page","Bosh sahifa"
"Use Custom Admin URL","Maxsus administrator URL-dan foydalaning"
"Custom Admin URL","Maxsus administrator URL manzili"
"Make sure that base URL ends with '/' (slash), e.g. http://yourdomain/magento/","Base URL ning ""/"" (oldinga slash) bilan tugaganligiga ishonch hosil qiling, masalan: http://yourdomain/magento/"
"Use Custom Admin Path","Maxsus boshqaruv usuli yordamida"
"Custom Admin Path","Maxsus boshqarish usuli"
"You will have to sign in after you save your custom admin path.","Maxsus administratoringiz yo'lini saqlaganingizdan so'ng tizimga kirishingiz kerak."
Security,Xavfsizlik
"Recovery Link Expiration Period (hours)","Qulaylik aloqasining amal qilish muddati (soat)"
"Please enter a number 1 or greater in this field.","Iltimos, 1 yoki undan ortiq raqamni kiriting."
"Add Secret Key to URLs","URL manzillari uchun maxfiy kalitni qo'shing"
"Login is Case Sensitive","Login katta ahamiyatga ega"
"Admin Session Lifetime (seconds)","Admin seansining ishlash muddati (sekundlarda)"
"Please enter at least 60 and at most 31536000 (one year).","Kamida 60 va kamida 31536000 (bir yil) ni ko'rsating."
"Enable Charts","Grafiklarni yoqish"
"Url Options","Url parametrlari"
"Add Store Code to Urls","Do'kon kodini URLlarga qo'shish"
"Auto-redirect to Base URL","Asosiy URL-ga avtomatik yo'naltirish"
"Search Engine Optimization","Qidiruv mexanizmi optimallashtirish"
"Use Web Server Rewrites","Veb-serverni qayta tiklashni ishlatish"
"Specify URL or {{base_url}} placeholder.","URL manzili yoki {{base_url}} manzilini ko'rsating."
"Base URL for Static View Files","Statik fayllarni ko'rish uchun asosiy URL"
"May be empty or start with {{unsecure_base_url}} placeholder.","Bo'sh bo'lishi yoki {{unsecure_base_url}} dan boshlanishi mumkin."
"Base URL for User Media Files","Media fayllari foydalanuvchilari uchun tayanch URL"
"Base URLs (Secure)","Asosiy URL lar (Xavfsiz)"
"Secure Base URL","Xavfsiz asosiy URL"
"Specify URL or {{base_url}}, or {{unsecure_base_url}} placeholder.","{{base_url}} yoki {{unsecure_base_url}} ning URL manzilini belgilang."
"Secure Base Link URL","Xavfsiz bazaga havola URL"
"Secure Base URL for Static View Files","Statik fayllarni ko'rish uchun xavfsiz taglik URL manzil"
"May be empty or start with {{secure_base_url}}, or {{unsecure_base_url}} placeholder.","Bu bo'sh bo'lishi yoki {{secure_base_url}} yoki {{unsecure_base_url}} bilan boshlanishi mumkin."
"Secure Base URL for User Media Files","Foydalanuvchi Media fayllari uchun xavfsiz Baza URL"
"Use Secure URLs on Storefront","Frontenddagi Xavfsiz Baza URL-laridan foydalaning"
"Use Secure URLs in Admin","Administratordagi xavfsiz URL-lardan foydalaning"
"Enable HTTP Strict Transport Security (HSTS)","HTTP qattiq transport xavfsizligini yoqish (HSTS)"
"Upgrade Insecure Requests","Xavfli talablarni yangilash"
"Offloader header","Offloader sarlavhasi"
"Default Pages","Standart sahifalar"
"Default Web URL","Standart veb-manzili"
"Default No-route URL","Standart No-route URL"
"Session Validation Settings","Sessiya sozlamalarini sinab ko'ring"
"Validate REMOTE_ADDR","REMOTE_ADDR ni tekshirib ko'ring"
"Validate HTTP_VIA","HTTP_VIA ni tekshirib ko'ring"
"Validate HTTP_X_FORWARDED_FOR","HTTP_X_FORWARDED_FOR ni tekshirib ko'ring"
"Validate HTTP_USER_AGENT","HTTP_USER_AGENTni tekshirib ko'ring"
"Cache Type","Kesh turi"
Description,Ta'rif
Tags,Teglar
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">404 Xato</h1><p>Sahifa topilmadi.</p>"
"Default Theme","Standart Template"
"If no value is specified, the system default is used. The system default may be modified by third-party extensions.","Hech qanday qiymat ko'rsatilmagan bo'lsa, tizimning standart qiymati ishlatiladi. Tizimdagi sukut uchinchi tomon kengaytmalari tomonidan o'zgartirilishi mumkin."
"Applied Theme","Amaliy Template"
"Design Rule","Dizayn qoidalari"
"How many links to display at once.","Bir vaqtning o'zida bir nechta URL lar ko'rsatiladi."
"If current frame position does not cover utmost pages, it renders the link to current position plus/minus this value.","Agar hozirgi kvadrat pozitsiyasi barcha sahifalarga to'g'ri kelmasa, u joriy manzilga URL ko'rsatadi: ortiqcha / minus bu qiymat."
"Alternative text for the previous pages link in the pagination menu. If empty, the default arrow image is used.","Avvalgi sahifalar uchun muqobil matnlar reyting sahifasida havola qiladi. Bo'sh bo'lsa, standart ko'rsatgich ishlatiladi."
"Anchor Text for Previous","Avvalgi matnni bog'lash"
"Alternative text for the next pages link in the pagination menu. If empty, default arrow image is used.","Pagination menyusida keyingi sahifalar uchun muqobil matn. Agar bo'sh bo'lsa, standart ko'rsatgichdan foydalaniladi."
"Anchor Text for Next","Keyingi uchun matn joylashtiring"
"Theme Name","Template nomi"
"System Backup","Tizimni zaxiralash"
"Database and Media Backup","Ma'lumotlar bazasi va media zaxiralash"
"Database Backup","Ma'lumotlar bazasini zahiralash"
"The archive can be uncompressed with <a href=""%1"">%2</a> on Windows systems.","Arxiv Windows tizimlarida <a href=""%1"">%2</a> bilan siqilgan bo'lishi mumkin."
"You need more permissions to activate maintenance mode right now.","Hozirgi vaqtda texnik rejimni yoqish uchun qo'shimcha huquqlar talab qilinadi."
"To create the backup, please deselect ""Put store into maintenance mode"" or update your permissions.","Zahira nusxasini yaratish uchun ""Do'konda xizmat ko'rsatish rejimida"" variantini o'chiring yoki o'z huquqlaringizni yangilang."
"Something went wrong while putting your store into maintenance mode.","Do'konni texnik rejimga o'tkazishda muammo yuz berdi."
"You need more free space to create a backup.","Zahiraga ega bo'lish uchun ko'proq bo'sh joy kerak."
"You need more permissions to create a backup.","Zahiraga ega bo'lish uchun qo'shimcha huquqlar talab qilinadi."
Backups,Zaxiralashlar
Backup,Zaxiralash
failed,xatolik
successful,muvaffaqiyatli
"You deleted the selected backup(s).","Tanlangan zahirani (lar) o'chirdingiz."
"Please correct the password.","Iltimos, parolni to'g'rilang."
"To complete the rollback, please deselect ""Put store into maintenance mode"" or update your permissions.","Orqaga qaytish jarayonini yakunlash uchun ""Do'konni ta'mirlash rejimiga qo'ying"" bandini bekor qiling yoki huquqlarni yangilang."
"Failed to validate FTP.","FTPni tekshirib bo'lmadi."
"You need more permissions to perform a rollback.","Qaytish jarayonini amalga oshirish uchun qo'shimcha huquqlar talab qilinadi."
"Failed to rollback.","Orqaga olish amalga oshmadi."
Database,"Ma'lumotlar bazasi"
"Database and Media","Ma'lumotlar bazasi va media fayllari"
"System (excluding Media)","Tizim (Mediadan tashqari)"
"You created the system backup.","Siz tizim zahirasini yaratdingiz."
"You created the system backup (excluding media).","Siz tizim zahirasini yaratdingiz (mediadan tashqari)."
"You created the database and media backup.","Ma'lumotlar bazasini va media zahirasini yaratdingiz."
"You created the database backup.","Siz ma'lumotlar bazasining zaxira nusxasini yaratdingiz."
"Please correct the order of creation for a new backup.","Iltimos, yangi zaxira yaratish tartibini to'g'rilang."
"The backup file does not exist.","Zaxira fayl mavjud emas."
"The backup file path was not specified.","Zaxira faylining yo'li aniqlanmadi."
"The backup file ""%1"" does not exist.","""%1"" zaxira fayli mavjud emas."
"Sorry, but we cannot read from or write to backup file ""%1"".","Kechirasiz, lekin biz ""%1"" zaxira faylini o'qiy olmaymiz yoki yozolmaymiz."
"The backup file handler was unspecified.","Zahiralangan fayllar yo'li ko'rsatilmagan."
"Something went wrong while writing to the backup file ""%1"".","""%1"" zaxira faylida xatolik yuz berdi."
"You will lose any data created since the backup was made, including admin users, customers and orders.","Zaxira qilingan vaqtdan so'ng yaratilgan ma'lumotlar, jumladan, administrator foydalanuvchilar, mijozlar va buyurtmalarni yo'qotasiz."
"Are you sure you want to continue?","Davom etishni xohlaysizmi?"
"This may take a few moments.","Bu bir necha daqiqa vaqt olishi mumkin."
"Be sure your store is in maintenance mode during backup.","Do'kon zaxiralash paytida xizmat ko'rsatish rejimida ekanligiga ishonch hosil qiling."
"Backup Name","Zaxiralash nomi"
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces in this field.","Iltimos, faqat ushbu harflardan foydalaning (a-z yoki A-Z), raqamlar (0-9) yoki probeldan."
"Maintenance mode","Xizmat holati"
"Please put your store into maintenance mode during backup.","Zaxira paytida do'koningizni texnik rejimga o'tkazing."
Exclude,Istisno
"Exclude media folder from backup","Media papkasini zahiradan chiqarib tashlang"
"Please enter the password to confirm rollback.","Qaytarilishni tasdiqlash uchun parolni kiriting."
"This action cannot be undone.","Ushbu amalni bekor qilish mumkin emas."
"User Password","Foydalanuvchi paroli"
"Please put your store into maintenance mode during rollback processing.","Qaytarish jarayonida do'koningizni texnik rejimga o'tkazing."
"Use FTP Connection","FTP ulanishidan foydalaning"
"FTP credentials","FTP sozlamalari"
"FTP Host","FTP server"
"FTP Password","FTP Paroli"
"Magento root directory","Magentoning asosiy katalogi"
"Create Backup","Zahira nusxasini yarating"
Rollback,"Orqaga qaytish"
"Enable Scheduled Backup","Jadvaldagi zaxirani yoqish"
Frequency,Muntazamlik
"Maintenance Mode","Xizmat rejimi"
"Are you sure you want to delete the selected backup(s)?","Siz tanlagan zahira(lar) ni o'chirmoqchimisiz?"
Size(bytes),"Hajmi (bytes)"
Type,Turi
Download,"Yuklab oling"
"Save and Continue Edit","Saqlang va tahrirlashni davom ettiring"
"Default Content","Standart kontent"
"No Default Content","Standart kontent yo'q"
"Store View Specific Content","Muayyan do'konni kontentni ko'rish"
"Use Default","Standart qiymatdan foydalaning"
"Related Promotions","Shu kabi aktsiyalar"
Rule,Qoida
"Start Date","Boshlanish vaqti"
"End Date","Tugash sanasi"
Active,Faol
Inactive,"Faol emas"
"Applies To",Qo'llaniladi
"Specify Types","Turlarni belgilang"
Position,Obyekt
"This rule no longer exists.","Bu qoida mavjud emas."
"You deleted %1 record(s).","Siz %1 yozuv(lar) ni o'chirdingiz."
"Please enter a name.","Iltimos, ismni kiriting."
"-- None --","-- Yo'q --"
"Content Area","Kontent maydoni"
Footer,"Pastki qism"
"Left Column","Chap ustun"
"Right Column","O'ng ustun"
"Rotation Mode","Qaytish tartibi"
"Display all instead of rotating","Aylanadigan o'rniga barchasini ko'rsatish"
"One at the time, Random","Ulardan biri, tasodifiy"
"One at the time, Series","Ulardan biri, Seriya"
"One at the time, Shuffle","Ulardan biri, Shuffle"
Visibility,Ko'rinishi
"All Segments","Barcha segmentlar"
"Customer Segment","Xaridor segmenti"
"Allowed Credit Card Types","Ruxsat berilgan kredit kartalari turlari"
"Add Rule","Qoida qo'shish"
"Braintree Settlement Report","Braintryning taxminiy hisoboti"
"Sorry, but something went wrong","Kechirasiz, lekin bir narsa noto'g'ri ketdi"
"No authorization transaction to proceed capture.","Yozishni davom ettirish uchun tranzaktsiyalarga ruxsat yo'q."
"Transaction is successful.","Jarayon muvaffaqiyatli."
"Braintree error response.","Braintree xato javob."
"Payment method nonce can't be retrieved.","Bir martalik to'lov usulini olish mumkin emas."
"Wrong transaction status","Jurnal holati noto'g'ri"
Authorize,"Ruxsat berish"
"Credit Card","Kredit karta"
ending,tugatish
expires,"amal qilish muddati"
"Please agree to all the terms and conditions before placing the order.","Buyurtmani joylashtirishdan oldin barcha talab va shartlarga rozilik bildiring."
"Transaction was failed.","Jarayon amalga oshmadi."
"Please, enter valid Credit Card Number","Iltimos, kredit karta raqamini to'g'ri kiriting"
"Please, enter valid Expiration Date","Iltimos, tegishli amal qilish muddatini kiriting"
"Please, enter valid Card Verification Number","Iltimos joriy kredit karta tasdiqlash raqamini kiriting"
"Are you sure you want to delete this PayPal account","Haqiqatan ham ushbu PayPal hisobini o'chirib tashlamoqchimisiz"
"PayPal Account","PayPal Profil"
"PayPal Logo","PayPal logotipi"
"Credit Card Information","Kredit kartasi ma'lumotlari"
"Save for later use.","Keyinchalik foydalanish uchun saqlash."
"This payment is not available","Ushbu to'lov mavjud emas"
"Please try again with another form of payment.","Boshqa to'lov shakli bilan qaytadan urinib ko'ring."
"Sorry, but something went wrong.","Kechirasiz, lekin bir narsa noto'g'ri ketdi."
"Payment ","To'lov "
"Transaction can only be voided if status is authorized, submitted_for_settlement, or - for PayPal - settlement_pending.","Jurnalni faqat aholi yashash joylari uchun ruxsat berilgan taqdirda bekor qilish mumkin yoki - PayPal uchun hisob-kitob kutilmoqda."
"Credit transactions cannot be refunded.","Kredit bitimlarini qaytarib bo'lmaydi."
"Transaction has already been completely refunded.","Shartnoma allaqachon to'liq qaytarilgan."
"Payment instrument type is not accepted by this merchant account.","To'lov vositasi turi bu savdogar hisobiga qabul qilinmaydi."
"Refund amount is too large.","To'langan pul miqdori juda katta."
"Settlement amount is too large.","To'lov miqdori juda yuqori."
"Cannot refund a transaction with a suspended merchant account.","Bloklangan savdogar hisobiga bitimni qaytarib bo'lmaydi."
"Merchant account does not support refunds.","Savdogar hisob qaydnomasi qaytarib berilmaydi."
"Cannot refund a transaction transaction in settling status on this merchant account. Try again after the transaction has settled.","Ushbu savdo hisobidagi holatni aniqlashda tranzaktsiyalarni qaytarib bera olmaysiz. Jarayon tugaganidan keyin yana urinib ko'ring."
"PayPal is not enabled for your merchant account.","Hisobingiz uchun PayPal yoqilmagan."
"Partial settlements are not supported by this processor.","Qisman hisob-kitoblar ushbu protsessor tomonidan qo'llab-quvvatlanmaydi."
"Cannot submit for partial settlement.","Qisman tartibga solish uchun topshirib bo'lmaydi."
"Transaction can not be voided if status of a PayPal partial settlement child transaction is settlement_pending.","Agar PayPalning qisman to'lovi bilan amalga oshirilgan bitim holati kutilayotgan deb hisoblansa, bitimni bekor qilish mumkin emas."
"Too many concurrent attempts to refund this transaction. Try again later.","Ushbu tranzaktsiyani qaytarish uchun bir vaqtning o'zida juda ko'p harakat qilindi. Keyinroq qayta urinib ko'ring."
"Too many concurrent attempts to void this transaction. Try again later.","Ushbu tranzaktsiyani bekor qilish uchun juda ko'p bir vaqtning o'zida urinishlar. Keyinroq qayta urinib ko'ring."
"Accept credit/debit cards and PayPal in your Magento store.<br/>No setup or monthly fees and your customers never leave your store to complete the purchase.","Magento do'konida kredit/debet kartalari va PayPalni qabul qiling.<br/>Hech qanday sozlash yoki oylik to'lovlar yo'q va mijozlar xaridni bajarish uchun do'kondan hech qachon chiqib ketishmaydi."
"Enable this Solution","Ushbu biznesni yoqing"
"Enable PayPal through Braintree","Braintree orqali PayPal'ni yoqing"
"Vault Enabled","Vault yoqildi"
"Basic Braintree Settings","Asosiy braintree sozlamalari"
"Merchant ID","Savdo identifikatori"
"Public Key","Umumiy kalit"
"Private Key","Yashirin kalit"
"Advanced Braintree Settings","Kengaytirilgan Braintree sozlamalari"
"Vault Title","Saqlash joyi nomi"
"Merchant Account ID","Savdo Profil ID"
"Advanced Fraud Protection","Qalloblikdan himoya qilishni yaxshilash"
"Kount Merchant ID","Sotuvchi ID"
"CVV Verification","CVV tekshiruvi"
"Country Specific Settings","Mamlakatga xos parametrlar"
"Country Specific Credit Card Types","Mamlakatga maxsus kredit kartalari turlari"
"PayPal through Braintree","Braintree orqali PayPal"
"Override Merchant Name","Savdo nomini qayta nomlash"
"Require Customer's Billing Address","Xaridorning to'lov manzili talab qilinadi"
"Allow to Edit Shipping Address Entered During Checkout on PayPal Side","PayPal orqali chiqish jarayonida kiritilgan yetkazib berish manzilini tahrirlashga ruxsat bering"
"Display on Shopping Cart","Savatda ko'rsatish"
"Skip Order Review","Buyurtmani ko'rib chiqish"
"3D Secure Verification Settings","3D Secure tasdiqlash sozlamalari"
"3D Secure Verification","3D Secure tekshirish"
"Threshold Amount","Eshik miqdori"
"Verify for Applicable Countries","Qo'llaniladigan mamlakatlar uchun tasdiqlang"
"Verify for Specific Countries","Muayyan mamlakatlar uchun tekshirish"
"Dynamic Descriptors","Dinamik identifikatorlar"
Phone,Telefon
"CVV must be 4 digits for American Express and 3 digits for other card types.","CVV American Express uchun 4 ta raqam va boshqa kartalar uchun 3 ta raqam bo'lishi kerak."
"Expiration year is invalid. It must be between 1975 and 2201.","Muddati o'tgan yil yaroqsiz. Bu 1975 yildan 2201 yilgacha bo'lishi kerak."
"CVV verification failed.","CVV tekshiruvi bajarilmadi."
"Postal code verification failed.","Pochta kodini tekshirib bo'lmadi."
"Credit card number is prohibited.","Kredit karta raqami taqiqlangan."
"Addresses must have at least one field filled in.","Manzillarda kamida bitta maydon to'ldirilgan bo'lishi kerak."
"US state codes must be two characters to meet PayPal Seller Protection requirements.","AQSh davlat kodlari PayPal sotuvchilarni himoya qilish talablariga javob beradigan ikkita belgi bo'lishi kerak."
"Incomplete PayPal account information.","To'liq PayPal hisob ma'lumotlari."
"Invalid PayPal account information.","PayPal hisob ma'lumotlari noto'g'ri."
"PayPal Accounts are not accepted by this merchant account.","Paypal hisoblari ushbu savdogar hisobiga qabul qilinmaydi."
"Billing address format is invalid.","To'lov manzili formati noto'g'ri."
"Country code is not accepted. Please contact the store administrator.","Mamlakat kodi qabul qilinmaydi. Iltimos, do'kon ma'muriga murojaat qiling."
"Provided country information is inconsistent.","Taqdim etilgan mamlakat haqidagi ma'lumot muvofiq emas."
"Customer has already reached the maximum of 50 addresses.","Xaridor 50 ta maksimal manzilga ega."
